transcript,gene,ref_transcript
MSTRG.26040.7,B2M,ENST00000558401
MSTRG.26040.8,B2M,ENST00000558401
MSTRG.26149.2,EHD4,ENST00000220325
MSTRG.26180.84,SQRDL,ENST00000260324
MSTRG.26199.14,DUT,ENST00000455976
MSTRG.26199.5,DUT,ENST00000331200
MSTRG.26203.4,EID1,ENST00000530028
MSTRG.26300.22,USP8,ENST00000396444
MSTRG.26324.14,GNB5,ENST00000261837
MSTRG.26364.1,RSL24D1,ENST00000260443
MSTRG.26612.9,TPM1,ENST00000358278
MSTRG.26617.3,RPS27L,ENST00000635699
MSTRG.26617.5,RPS27L,ENST00000635699
MSTRG.26617.6,RPS27L,ENST00000635699
MSTRG.26624.12,CA12,ENST00000178638
MSTRG.26664.4,RBPMS2,ENST00000300069
MSTRG.26711.14,RAB11A,ENST00000261890
MSTRG.26711.9,RAB11A,ENST00000261890
MSTRG.26748.3,SMAD3,ENST00000327367
MSTRG.26785.12,ANP32A,ENST00000409628
MSTRG.26785.6,ANP32A,ENST00000409628
MSTRG.26788.10,NOX5,ENST00000260364
MSTRG.26888.2,FBXL22,ENST00000360587
MSTRG.26929.7,ADPGK,ENST00000311669
MSTRG.27013.9,EDC3,ENST00000315127
MSTRG.27033.31,COX5A,ENST00000322347
MSTRG.27083.47,FBXO22,ENST00000308275
MSTRG.27083.48,FBXO22,ENST00000308275
MSTRG.27099.1,TSPAN3,ENST00000267970
MSTRG.27099.3,TSPAN3,ENST00000267970
MSTRG.27127.11,PEAK1,ENST00000312493
MSTRG.27172.11,CTSH,ENST00000220166
MSTRG.27182.4,TMED3,ENST00000543455
MSTRG.27182.5,TMED3,ENST00000543455
MSTRG.27323.42,C15orf40,ENST00000304177
MSTRG.27323.43,C15orf40,ENST00000304177
MSTRG.27323.44,C15orf40,ENST00000304177
MSTRG.27323.45,C15orf40,ENST00000304177
MSTRG.27323.46,C15orf40,ENST00000304177
MSTRG.27323.47,C15orf40,ENST00000304177
MSTRG.27323.48,C15orf40,ENST00000304177
MSTRG.27323.51,C15orf40,ENST00000304177
MSTRG.27323.52,C15orf40,ENST00000304177
MSTRG.27368.10,SEC11A,ENST00000268220
MSTRG.27368.11,SEC11A,ENST00000560266
MSTRG.27368.13,SEC11A,ENST00000455959
MSTRG.27368.15,SEC11A,ENST00000455959
MSTRG.27368.7,SEC11A,ENST00000560266
MSTRG.27368.9,SEC11A,ENST00000455959
MSTRG.27454.21,HAPLN3,ENST00000359595
MSTRG.27454.42,MFGE8,ENST00000558018
MSTRG.27454.51,MFGE8,ENST00000558018
MSTRG.27460.6,ABHD2,ENST00000352732
MSTRG.27460.7,ABHD2,ENST00000352732
MSTRG.27531.2,IDH2,ENST00000330062
MSTRG.27531.22,IDH2,ENST00000330062
MSTRG.27539.4,CIB1,ENST00000328649
MSTRG.276.13,PARK7,ENST00000493678
MSTRG.27779.2,IGF1R,ENST00000268035
MSTRG.27899.3,POLR3K,ENST00000293860
MSTRG.27921.9,STUB1,ENST00000219548
MSTRG.27969.13,UBE2I,ENST00000397515
MSTRG.27969.18,UBE2I,ENST00000397515
MSTRG.27969.20,UBE2I,ENST00000397515
MSTRG.27969.22,UBE2I,ENST00000397515
MSTRG.27969.5,UBE2I,ENST00000355803
MSTRG.27969.7,UBE2I,ENST00000325437
MSTRG.27994.117,RAB40C,ENST00000535977
MSTRG.28012.7,MSRB1,ENST00000361871
MSTRG.28036.10,TRAF7,ENST00000326181
MSTRG.28039.2,BRICD5,ENST00000328540
MSTRG.28043.10,RNPS1,ENST00000320225
MSTRG.28050.21,ATP6V0C,ENST00000330398
MSTRG.28089.38,FLYWCH1,ENST00000416288
MSTRG.28105.4,TNFRSF12A,ENST00000326577
MSTRG.28138.30,SPSB3,ENST00000563741
MSTRG.28198.25,NAA60,ENST00000360862
MSTRG.28198.26,NAA60,ENST00000360862
MSTRG.28198.29,NAA60,ENST00000414063
MSTRG.28198.46,NAA60,ENST00000360862
MSTRG.28198.47,NAA60,ENST00000414063
MSTRG.28198.5,LA16c-306E5.2,ENST00000576906
MSTRG.28198.53,NAA60,ENST00000360862
MSTRG.28198.66,NAA60,ENST00000360862
MSTRG.28198.68,NAA60,ENST00000360862
MSTRG.28198.76,NAA60,ENST00000414063
MSTRG.28232.14,HMOX2,ENST00000458134
MSTRG.28232.15,HMOX2,ENST00000458134
MSTRG.28232.30,HMOX2,ENST00000219700
MSTRG.28232.31,HMOX2,ENST00000219700
MSTRG.28232.37,HMOX2,ENST00000219700
MSTRG.28232.5,HMOX2,ENST00000458134
MSTRG.28232.7,HMOX2,ENST00000458134
MSTRG.28239.11,UBALD1,ENST00000283474
MSTRG.28239.2,UBALD1,ENST00000283474
MSTRG.28239.7,UBALD1,ENST00000283474
MSTRG.28405.3,DEXI,ENST00000469379
MSTRG.28493.3,UBN1,ENST00000262376
MSTRG.28623.10,C16orf45,ENST00000300006
MSTRG.28629.25,NDE1,ENST00000396354
MSTRG.28710.3,GPRC5B,ENST00000300571
MSTRG.28730.10,METTL9,ENST00000358154
MSTRG.28740.37,POLR3E,ENST00000299853
MSTRG.28784.44,NPIPB5,ENST00000528249
MSTRG.28839.2,DCTN5,ENST00000300087
MSTRG.28960.4,SULT1A1,ENST00000314752
MSTRG.28981.12,QPRT,ENST00000219771
MSTRG.28981.17,QPRT,ENST00000219771
MSTRG.28981.6,QPRT,ENST00000219771
MSTRG.28981.9,QPRT,ENST00000219771
MSTRG.29013.1,BOLA2,ENST00000330978
MSTRG.29082.12,INO80E,ENST00000562441
MSTRG.29082.13,INO80E,ENST00000562441
MSTRG.29104.31,CD2BP2,ENST00000305596
MSTRG.29104.32,CD2BP2,ENST00000305596
MSTRG.29104.34,CD2BP2,ENST00000305596
MSTRG.29104.39,CD2BP2,ENST00000305596
MSTRG.29104.44,CD2BP2,ENST00000305596
MSTRG.29104.45,CD2BP2,ENST00000305596
MSTRG.29131.18,PRSS53,ENST00000280606
MSTRG.29131.21,PRSS53,ENST00000280606
MSTRG.29131.25,PRSS53,ENST00000280606
MSTRG.29402.1,DNAJA2,ENST00000317089
MSTRG.29436.7,ITFG1,ENST00000320640
MSTRG.29691.2,FTO,ENST00000471389
MSTRG.29698.26,NUDT21,ENST00000300291
MSTRG.29746.1,CX3CL1,ENST00000006053
MSTRG.29770.15,HERPUD1,ENST00000439977
MSTRG.2990.2,RPL5,ENST00000470843
MSTRG.30066.4,CYB5B,ENST00000307892
MSTRG.30094.13,CDH1,ENST00000611625
MSTRG.30094.24,CDH1,ENST00000611625
MSTRG.30094.25,CDH1,ENST00000611625
MSTRG.30143.3,MARVELD3,ENST00000299952
MSTRG.30167.49,IST1,ENST00000378799
MSTRG.30275.13,NQO1,ENST00000320623
MSTRG.30275.6,NQO1,ENST00000320623
MSTRG.30275.7,NQO1,ENST00000320623
MSTRG.30300.10,DDX19B,ENST00000393657
MSTRG.30300.17,DDX19B,ENST00000393657
MSTRG.30305.14,BCAR1,ENST00000418647
MSTRG.30305.22,BCAR1,ENST00000418647
MSTRG.30467.3,CMC2,ENST00000219400
MSTRG.30496.14,PLCG2,ENST00000564138
MSTRG.30513.10,HSBP1,ENST00000433866
MSTRG.30513.12,HSBP1,ENST00000433866
MSTRG.30513.13,HSBP1,ENST00000433866
MSTRG.30513.14,HSBP1,ENST00000433866
MSTRG.30513.15,HSBP1,ENST00000433866
MSTRG.30513.16,HSBP1,ENST00000433866
MSTRG.30513.17,HSBP1,ENST00000433866
MSTRG.30513.19,HSBP1,ENST00000433866
MSTRG.30513.20,HSBP1,ENST00000433866
MSTRG.30513.21,HSBP1,ENST00000433866
MSTRG.30513.22,HSBP1,ENST00000433866
MSTRG.30513.4,HSBP1,ENST00000433866
MSTRG.30513.5,HSBP1,ENST00000433866
MSTRG.30513.7,HSBP1,ENST00000433866
MSTRG.30513.9,HSBP1,ENST00000433866
MSTRG.30554.13,CRISPLD2,ENST00000262424
MSTRG.30569.36,ZDHHC7,ENST00000313732
MSTRG.30574.26,TLDC1,ENST00000343629
MSTRG.30710.14,MAP1LC3B,ENST00000564844
MSTRG.30723.6,SLC7A5,ENST00000261622
MSTRG.30804.1,CDT1,ENST00000301019
MSTRG.30825.11,SPATA33,ENST00000611218
MSTRG.30897.48,ANKRD11,ENST00000301030
MSTRG.30897.57,ANKRD11,ENST00000301030
MSTRG.30927.6,VPS53,ENST00000437048
MSTRG.30932.6,FAM57A,ENST00000308278
MSTRG.30933.51,NXN,ENST00000336868
MSTRG.30951.1,TIMM22,ENST00000327158
MSTRG.30952.102,YWHAE,ENST00000571732
MSTRG.30952.103,YWHAE,ENST00000571732
MSTRG.30952.105,YWHAE,ENST00000571732
MSTRG.30952.106,YWHAE,ENST00000571732
MSTRG.30952.107,YWHAE,ENST00000571732
MSTRG.30952.89,YWHAE,ENST00000571732
MSTRG.30952.93,YWHAE,ENST00000571732
MSTRG.30952.97,YWHAE,ENST00000571732
MSTRG.30984.29,SPIRE2,ENST00000378247
MSTRG.31010.43,MYO1C,ENST00000359786
MSTRG.31044.2,SHPK,ENST00000225519
MSTRG.31044.26,TAX1BP3,ENST00000225525
MSTRG.31044.28,TAX1BP3,ENST00000225525
MSTRG.31044.3,SHPK,ENST00000225519
MSTRG.31044.33,TAX1BP3,ENST00000225525
MSTRG.31044.37,TAX1BP3,ENST00000225525
MSTRG.31065.10,MNT,ENST00000174618
MSTRG.31065.11,MNT,ENST00000174618
MSTRG.31083.1,CXCL16,ENST00000293778
MSTRG.31144.7,TXNDC17,ENST00000250101
MSTRG.31178.13,RPAIN,ENST00000381209
MSTRG.31178.17,RPAIN,ENST00000381209
MSTRG.31193.48,C17orf49,ENST00000439424
MSTRG.31232.10,TP53,ENST00000420246
MSTRG.31479.6,UBB,ENST00000302182
MSTRG.31678.19,EPN2,ENST00000395618
MSTRG.31678.34,EPN2,ENST00000314728
MSTRG.3181.9,TMED5,ENST00000370290
MSTRG.31957.67,LGALS9,ENST00000467111
MSTRG.31957.70,LGALS9,ENST00000467111
MSTRG.31986.19,POLDIP2,ENST00000540200
MSTRG.31991.8,SLC46A1,ENST00000581516
MSTRG.32044.9,GOSR1,ENST00000225724
MSTRG.32194.20,ZNF207,ENST00000577908
MSTRG.32194.21,ZNF207,ENST00000577908
MSTRG.32194.29,ZNF207,ENST00000577908
MSTRG.32194.30,ZNF207,ENST00000394670
MSTRG.32194.49,ZNF207,ENST00000394670
MSTRG.32194.55,ZNF207,ENST00000394670
MSTRG.32241.3,PSMD11,ENST00000261712
MSTRG.32244.8,MYO1D,ENST00000318217
MSTRG.32270.37,MYO18A,ENST00000527312
MSTRG.32282.2,LIG3,ENST00000262327
MSTRG.32282.4,LIG3,ENST00000262327
MSTRG.32297.10,SLFN13,ENST00000526861
MSTRG.32314.6,CCL5,ENST00000603197
MSTRG.32443.60,RP1-161P9.5,ENST00000603816
MSTRG.32456.10,LASP1,ENST00000318008
MSTRG.32456.13,LASP1,ENST00000318008
MSTRG.32456.15,LASP1,ENST00000318008
MSTRG.32456.16,LASP1,ENST00000318008
MSTRG.32456.17,LASP1,ENST00000435347
MSTRG.32456.3,LASP1,ENST00000318008
MSTRG.32480.17,MLLT6,ENST00000621332
MSTRG.32480.5,MLLT6,ENST00000621332
MSTRG.32516.10,PSMD3,ENST00000264639
MSTRG.32516.15,PSMD3,ENST00000264639
MSTRG.32516.3,PSMD3,ENST00000264639
MSTRG.32516.4,PSMD3,ENST00000264639
MSTRG.32524.2,ORMDL3,ENST00000304046
MSTRG.32524.9,ORMDL3,ENST00000304046
MSTRG.32535.10,WIPF2,ENST00000323571
MSTRG.32535.12,WIPF2,ENST00000323571
MSTRG.32552.99,RAPGEFL1,ENST00000264644
MSTRG.32565.10,SMARCE1,ENST00000348513
MSTRG.32643.1,EIF1,ENST00000591776
MSTRG.32643.10,EIF1,ENST00000591776
MSTRG.32643.11,EIF1,ENST00000462917
MSTRG.32643.13,EIF1,ENST00000591776
MSTRG.32643.14,EIF1,ENST00000591776
MSTRG.32643.15,EIF1,ENST00000591776
MSTRG.32643.2,EIF1,ENST00000591776
MSTRG.32643.3,EIF1,ENST00000591776
MSTRG.32643.5,EIF1,ENST00000591776
MSTRG.32643.7,EIF1,ENST00000591776
MSTRG.32669.13,CNP,ENST00000393892
MSTRG.32670.15,DNAJC7,ENST00000316603
MSTRG.32676.31,KAT2A,ENST00000465682
MSTRG.32693.1,PTRF,ENST00000357037
MSTRG.32693.2,PTRF,ENST00000357037
MSTRG.32785.4,DUSP3,ENST00000226004
MSTRG.32785.7,DUSP3,ENST00000226004
MSTRG.32847.25,TMUB2,ENST00000592825
MSTRG.32848.58,UBTF,ENST00000302904
MSTRG.32925.3,NMT1,ENST00000258960
MSTRG.32994.1,SP6,ENST00000536300
MSTRG.32994.3,SP6,ENST00000342234
MSTRG.32994.6,SP6,ENST00000536300
MSTRG.33006.31,NFE2L1,ENST00000361665
MSTRG.33069.11,CALCOCO2,ENST00000258947
MSTRG.33069.8,CALCOCO2,ENST00000258947
MSTRG.33128.59,FAM117A,ENST00000240364
MSTRG.33130.8,KAT7,ENST00000259021
MSTRG.33133.9,PPP1R9B,ENST00000612501
MSTRG.33165.14,LRRC59,ENST00000225972
MSTRG.33165.17,LRRC59,ENST00000225972
MSTRG.33165.23,LRRC59,ENST00000225972
MSTRG.33169.16,COL1A1,ENST00000225964
MSTRG.33169.19,COL1A1,ENST00000225964
MSTRG.33169.2,COL1A1,ENST00000225964
MSTRG.33174.12,ITGA3,ENST00000320031
MSTRG.33174.61,PDK2,ENST00000503176
MSTRG.33180.66,LUC7L3,ENST00000240304
MSTRG.33182.13,NME1,ENST00000336097
MSTRG.33309.28,COX11,ENST00000299335
MSTRG.33376.92,SRSF1,ENST00000584668
MSTRG.33376.96,SRSF1,ENST00000584668
MSTRG.33388.10,DYNLL2,ENST00000579991
MSTRG.33388.11,DYNLL2,ENST00000579991
MSTRG.33388.12,DYNLL2,ENST00000579991
MSTRG.33388.13,DYNLL2,ENST00000579991
MSTRG.33388.14,DYNLL2,ENST00000579991
MSTRG.33388.15,DYNLL2,ENST00000579991
MSTRG.33388.16,DYNLL2,ENST00000579991
MSTRG.33388.17,DYNLL2,ENST00000579991
MSTRG.33388.18,DYNLL2,ENST00000579991
MSTRG.33388.5,DYNLL2,ENST00000579991
MSTRG.33388.6,DYNLL2,ENST00000579991
MSTRG.33388.7,DYNLL2,ENST00000579991
MSTRG.33388.9,DYNLL2,ENST00000579991
MSTRG.33620.14,CYB561,ENST00000360793
MSTRG.33648.5,LIMD2,ENST00000580222
MSTRG.33648.7,LIMD2,ENST00000259006
MSTRG.33732.8,PSMD12,ENST00000356126
MSTRG.33745.2,NOL11,ENST00000253247
MSTRG.33778.24,PRKAR1A,ENST00000536854
MSTRG.33778.38,PRKAR1A,ENST00000536854
MSTRG.33872.10,CDC42EP4,ENST00000335793
MSTRG.33872.3,CDC42EP4,ENST00000581014
MSTRG.33872.6,CDC42EP4,ENST00000335793
MSTRG.33959.19,FDXR,ENST00000413947
MSTRG.33959.20,FDXR,ENST00000293195
MSTRG.33977.1,HN1,ENST00000304834
MSTRG.33994.10,H3F3B,ENST00000254810
MSTRG.33994.2,H3F3B,ENST00000254810
MSTRG.33994.3,H3F3B,ENST00000254810
MSTRG.33994.7,H3F3B,ENST00000254810
MSTRG.33994.8,H3F3B,ENST00000254810
MSTRG.34036.57,FOXJ1,ENST00000322957
MSTRG.3406.11,PSMA5,ENST00000271308
MSTRG.3406.13,PSMA5,ENST00000271308
MSTRG.3406.14,PSMA5,ENST00000271308
MSTRG.3406.16,PSMA5,ENST00000271308
MSTRG.3406.19,PSMA5,ENST00000271308
MSTRG.3406.3,PSMA5,ENST00000271308
MSTRG.3406.6,PSMA5,ENST00000271308
MSTRG.3406.8,PSMA5,ENST00000271308
MSTRG.3406.9,PSMA5,ENST00000271308
MSTRG.34073.9,MGAT5B,ENST00000301618
MSTRG.341.15,GPR157,ENST00000377411
MSTRG.34122.73,SEPT9,ENST00000329047
MSTRG.34132.8,SYNGR2,ENST00000225777
MSTRG.34136.1,BIRC5,ENST00000301633
MSTRG.34136.4,BIRC5,ENST00000301633
MSTRG.34139.24,SEC14L1,ENST00000436233
MSTRG.34139.25,SEC14L1,ENST00000443798
MSTRG.34139.26,SEC14L1,ENST00000443798
MSTRG.34139.29,SEC14L1,ENST00000443798
MSTRG.34139.30,SEC14L1,ENST00000436233
MSTRG.34139.35,SEC14L1,ENST00000392476
MSTRG.34148.3,SOCS3,ENST00000330871
MSTRG.34148.6,SOCS3,ENST00000330871
MSTRG.34148.7,SOCS3,ENST00000330871
MSTRG.34155.11,TMC6,ENST00000306591
MSTRG.34155.2,TMC6,ENST00000306591
MSTRG.34155.4,TMC6,ENST00000306591
MSTRG.34156.8,TMC8,ENST00000318430
MSTRG.34171.2,TIMP2,ENST00000262768
MSTRG.34182.10,C1QTNF1,ENST00000311661
MSTRG.34182.13,C1QTNF1,ENST00000311661
MSTRG.34182.8,C1QTNF1,ENST00000354124
MSTRG.3425.10,AHCYL1,ENST00000369799
MSTRG.3425.4,AHCYL1,ENST00000369799
MSTRG.34251.2,ARHGDIA,ENST00000584461
MSTRG.34251.7,ARHGDIA,ENST00000584461
MSTRG.34366.10,RAB40B,ENST00000571995
MSTRG.34366.3,RAB40B,ENST00000571995
MSTRG.34366.5,RAB40B,ENST00000571995
MSTRG.34366.6,RAB40B,ENST00000571995
MSTRG.34431.17,FASN,ENST00000306749
MSTRG.34431.61,FASN,ENST00000306749
MSTRG.34431.66,FASN,ENST00000306749
MSTRG.34437.57,CSNK1D,ENST00000269361
MSTRG.34522.9,ENOSF1,ENST00000383578
MSTRG.34542.50,MYL12B,ENST00000237500
MSTRG.34689.8,NDUFV2,ENST00000318388
MSTRG.347.5,SPSB1,ENST00000328089
MSTRG.347.6,SPSB1,ENST00000328089
MSTRG.347.7,SPSB1,ENST00000328089
MSTRG.34728.3,VAPA,ENST00000340541
MSTRG.34728.4,VAPA,ENST00000400000
MSTRG.3475.2,LAMTOR5,ENST00000483260
MSTRG.34788.1,CHMP1B,ENST00000526991
MSTRG.34833.11,PRELID3A,ENST00000336990
MSTRG.34838.20,PTPN2,ENST00000309660
MSTRG.35003.25,TMEM241,ENST00000383233
MSTRG.35021.2,RIOK3,ENST00000339486
MSTRG.3510.12,ATP5F1,ENST00000369722
MSTRG.3510.13,ATP5F1,ENST00000369722
MSTRG.3510.15,ATP5F1,ENST00000369722
MSTRG.3517.20,RAP1A,ENST00000369709
MSTRG.3517.34,RAP1A,ENST00000356415
MSTRG.35540.3,ATP5A1,ENST00000398752
MSTRG.3556.4,SLC16A1,ENST00000369626
MSTRG.35608.6,SMAD2,ENST00000262160
MSTRG.35608.8,SMAD2,ENST00000262160
MSTRG.35806.13,RAB27B,ENST00000262094
MSTRG.35845.3,ST8SIA3,ENST00000324000
MSTRG.35856.21,TCF4,ENST00000354452
MSTRG.35900.28,NEDD4L,ENST00000256830
MSTRG.35900.9,NEDD4L,ENST00000617539
MSTRG.35907.3,SEC11C,ENST00000587834
MSTRG.35969.3,RNF152,ENST00000312828
MSTRG.36018.6,HMSD,ENST00000408945
MSTRG.36251.2,ZADH2,ENST00000322342
MSTRG.36388.12,HSBP1L1,ENST00000451882
MSTRG.36388.17,HSBP1L1,ENST00000451882
MSTRG.36388.8,HSBP1L1,ENST00000451882
MSTRG.36390.3,TXNL4A,ENST00000269601
MSTRG.36390.4,TXNL4A,ENST00000269601
MSTRG.36390.5,TXNL4A,ENST00000269601
MSTRG.36390.6,TXNL4A,ENST00000269601
MSTRG.36473.18,PTBP1,ENST00000356948
MSTRG.36473.30,PTBP1,ENST00000356948
MSTRG.36479.1,CFD,ENST00000327726
MSTRG.36481.2,MED16,ENST00000312090
MSTRG.36494.22,CNN2,ENST00000263097
MSTRG.36511.2,REEP6,ENST00000233596
MSTRG.36511.4,REEP6,ENST00000233596
MSTRG.36511.5,REEP6,ENST00000233596
MSTRG.36513.64,DAZAP1,ENST00000336761
MSTRG.3653.10,ATP1A1,ENST00000295598
MSTRG.36546.36,STK11,ENST00000326873
MSTRG.36546.5,STK11,ENST00000326873
MSTRG.36559.21,MBD3,ENST00000156825
MSTRG.36559.23,MBD3,ENST00000156825
MSTRG.36568.30,SCAMP4,ENST00000316097
MSTRG.36602.1,SGTA,ENST00000221566
MSTRG.36602.10,SGTA,ENST00000221566
MSTRG.36612.22,THOP1,ENST00000307741
MSTRG.36621.1,AES,ENST00000221561
MSTRG.36621.8,AES,ENST00000327141
MSTRG.36627.4,GNA15,ENST00000262958
MSTRG.36627.8,GNA15,ENST00000262958
MSTRG.36645.5,SF3A2,ENST00000221494
MSTRG.36663.5,FZR1,ENST00000441788
MSTRG.36793.11,KDM4B,ENST00000159111
MSTRG.36806.1,FUT3,ENST00000303225
MSTRG.36817.25,GTF2F1,ENST00000394456
MSTRG.36827.15,CAPS,ENST00000588776
MSTRG.36920.3,MAP2K7,ENST00000397983
MSTRG.36945.9,RPS28,ENST00000449223
MSTRG.36970.27,ZNF558,ENST00000601372
MSTRG.36970.34,ZNF558,ENST00000601372
MSTRG.37042.7,PIN1,ENST00000588695
MSTRG.37065.5,ICAM1,ENST00000264832
MSTRG.37069.10,KEAP1,ENST00000171111
MSTRG.37069.15,KEAP1,ENST00000171111
MSTRG.37084.26,AP1M2,ENST00000250244
MSTRG.37207.17,ELOF1,ENST00000252445
MSTRG.37235.26,DNM2,ENST00000355667
MSTRG.37243.1,CARM1,ENST00000327064
MSTRG.37243.8,CARM1,ENST00000327064
MSTRG.37243.9,CARM1,ENST00000327064
MSTRG.37244.11,YIPF2,ENST00000253031
MSTRG.37245.5,C19orf52,ENST00000270502
MSTRG.37271.6,ASF1B,ENST00000263382
MSTRG.37290.6,DNAJB1,ENST00000254322
MSTRG.37356.1,RAB8A,ENST00000300935
MSTRG.37356.35,HSH2D,ENST00000593031
MSTRG.37356.6,RAB8A,ENST00000300935
MSTRG.37356.7,RAB8A,ENST00000300935
MSTRG.37443.12,PGLS,ENST00000594761
MSTRG.37446.3,ABHD8,ENST00000247706
MSTRG.37466.6,MPV17L2,ENST00000533807
MSTRG.37479.8,B3GNT3,ENST00000318683
MSTRG.37527.5,UPF1,ENST00000262803
MSTRG.37901.1,PLEKHF1,ENST00000436066
MSTRG.37901.10,PLEKHF1,ENST00000436066
MSTRG.37901.5,PLEKHF1,ENST00000436066
MSTRG.37901.7,PLEKHF1,ENST00000436066
MSTRG.37902.1,PLEKHF1,ENST00000436066
MSTRG.37906.17,C19orf12,ENST00000323670
MSTRG.37906.8,C19orf12,ENST00000323670
MSTRG.38052.5,CEBPG,ENST00000284000
MSTRG.38099.11,LSM14A,ENST00000433627
MSTRG.38102.34,GPI,ENST00000356487
MSTRG.38112.1,FXYD5,ENST00000342879
MSTRG.38112.12,FXYD5,ENST00000342879
MSTRG.38112.14,FXYD5,ENST00000342879
MSTRG.38123.15,FXYD1,ENST00000612146
MSTRG.38244.27,ZNF585B,ENST00000527838
MSTRG.38273.43,IGFLR1,ENST00000246532
MSTRG.38274.1,PSENEN,ENST00000587708
MSTRG.38274.10,PSENEN,ENST00000587708
MSTRG.38274.12,PSENEN,ENST00000587708
MSTRG.38274.16,PSENEN,ENST00000222266
MSTRG.38274.2,PSENEN,ENST00000587708
MSTRG.38274.25,LIN37,ENST00000301159
MSTRG.38274.3,PSENEN,ENST00000587708
MSTRG.38274.4,PSENEN,ENST00000587708
MSTRG.38274.5,PSENEN,ENST00000587708
MSTRG.38274.7,PSENEN,ENST00000587708
MSTRG.38274.8,PSENEN,ENST00000587708
MSTRG.38274.9,PSENEN,ENST00000587708
MSTRG.38299.12,SPINT2,ENST00000301244
MSTRG.38299.37,C19orf33,ENST00000301246
MSTRG.38299.6,SPINT2,ENST00000301244
MSTRG.38299.9,SPINT2,ENST00000301244
MSTRG.38308.12,PSMD8,ENST00000215071
MSTRG.38308.14,PSMD8,ENST00000215071
MSTRG.38308.15,PSMD8,ENST00000215071
MSTRG.38308.19,PSMD8,ENST00000215071
MSTRG.38308.20,PSMD8,ENST00000215071
MSTRG.38308.22,PSMD8,ENST00000215071
MSTRG.38382.3,ZFP36,ENST00000597629
MSTRG.38383.4,TIMM50,ENST00000544017
MSTRG.38412.4,PSMC4,ENST00000157812
MSTRG.38427.19,AKT2,ENST00000311278
MSTRG.38427.2,AKT2,ENST00000311278
MSTRG.38427.20,AKT2,ENST00000311278
MSTRG.38427.21,AKT2,ENST00000392038
MSTRG.38427.26,AKT2,ENST00000311278
MSTRG.38427.3,AKT2,ENST00000391844
MSTRG.38427.34,AKT2,ENST00000392038
MSTRG.38427.36,AKT2,ENST00000311278
MSTRG.38465.31,RAB4B,ENST00000357052
MSTRG.38479.1,ITPKC,ENST00000263370
MSTRG.38479.2,ITPKC,ENST00000263370
MSTRG.38511.34,CEACAM6,ENST00000199764
MSTRG.38523.6,EXOSC5,ENST00000221233
MSTRG.38656.26,CADM4,ENST00000222374
MSTRG.38659.6,PLAUR,ENST00000340093
MSTRG.38734.7,SNRPD2,ENST00000391932
MSTRG.38755.37,CCDC61,ENST00000536603
MSTRG.38772.1,IGFL1,ENST00000437936
MSTRG.38808.9,SAE1,ENST00000270225
MSTRG.38820.20,NAPA,ENST00000263354
MSTRG.38820.27,NAPA,ENST00000263354
MSTRG.38820.30,NAPA,ENST00000263354
MSTRG.38824.5,PNMAL1,ENST00000313683
MSTRG.38830.7,CALM3,ENST00000291295
MSTRG.38901.8,KDELR1,ENST00000330720
MSTRG.38948.8,FUZ,ENST00000313777
MSTRG.38964.53,RPL13A,ENST00000391857
MSTRG.39003.17,EMC10,ENST00000334976
MSTRG.39003.18,EMC10,ENST00000598585
MSTRG.39003.26,EMC10,ENST00000376918
MSTRG.39003.28,EMC10,ENST00000376918
MSTRG.39003.31,EMC10,ENST00000334976
MSTRG.39003.32,EMC10,ENST00000334976
MSTRG.39003.36,EMC10,ENST00000598585
MSTRG.39003.37,EMC10,ENST00000334976
MSTRG.39003.41,EMC10,ENST00000598585
MSTRG.39003.5,EMC10,ENST00000376918
MSTRG.39003.6,EMC10,ENST00000376918
MSTRG.39003.8,EMC10,ENST00000376918
MSTRG.39023.10,C19orf48,ENST00000391812
MSTRG.39076.12,NUP62,ENST00000597723
MSTRG.39079.12,ATF5,ENST00000423777
MSTRG.39079.9,ATF5,ENST00000423777
MSTRG.39166.13,MYADM,ENST00000391770
MSTRG.39166.16,MYADM,ENST00000391770
MSTRG.39166.17,MYADM,ENST00000391771
MSTRG.39166.18,MYADM,ENST00000391770
MSTRG.39166.19,MYADM,ENST00000391770
MSTRG.39166.20,MYADM,ENST00000391770
MSTRG.39166.21,MYADM,ENST00000391770
MSTRG.39166.26,MYADM,ENST00000391770
MSTRG.39166.27,MYADM,ENST00000391770
MSTRG.39166.7,MYADM,ENST00000336967
MSTRG.39166.9,MYADM,ENST00000336967
MSTRG.39167.1,AC008440.5,ENST00000413496
MSTRG.39174.15,ZNF525,ENST00000475179
MSTRG.39174.24,ZNF765,ENST00000396408
MSTRG.39174.26,ZNF765,ENST00000396408
MSTRG.39267.7,COX6B2,ENST00000326529
MSTRG.39282.2,OSCAR,ENST00000358375
MSTRG.39283.25,NDUFA3,ENST00000303553
MSTRG.39329.50,ZNF444,ENST00000337080
MSTRG.39359.4,ZNF582,ENST00000301310
MSTRG.39478.15,ZNF211,ENST00000540556
MSTRG.39574.20,UBE2M,ENST00000253023
MSTRG.39574.3,UBE2M,ENST00000253023
MSTRG.39574.33,UBE2M,ENST00000253023
MSTRG.39852.7,KIDINS220,ENST00000256707
MSTRG.39939.54,HPCAL1,ENST00000419810
MSTRG.39943.3,ODC1,ENST00000234111
MSTRG.39961.25,E2F6,ENST00000437573
