transcript,gene
ENST00000439555,IRF1
ENST00000439563,BTBD19
ENST00000439593,DONSON
ENST00000439627,PLCB1
ENST00000439635,TKTL1
ENST00000439640,FKBP1A
ENST00000439661,DECR2
ENST00000439669,CPNE1
ENST00000439676,WAC
ENST00000439684,SENP2
ENST00000439718,BCL2L11
ENST00000439722,SLC2A1
ENST00000439735,TAZ
ENST00000439775,SNRPD3
ENST00000439780,UBE2F
ENST00000439802,ALS2CR11
ENST00000439815,DBNL
ENST00000439830,ANKRD28
ENST00000439832,GTPBP10
ENST00000439835,FBLN1
ENST00000439848,IKZF2
ENST00000439882,MAP3K13
ENST00000439883,ANKIB1
ENST00000439903,CYP2F1
ENST00000439910,VIPR1
ENST00000439922,SPIB
ENST00000439924,IST1
ENST00000439947,TRMT61B
ENST00000439958,CPSF7
ENST00000439962,EDEM3
ENST00000439966,MERTK
ENST00000439969,C6orf223
ENST00000439980,PIN4
ENST00000439997,EIF3L
ENST00000440039,KIAA0930
ENST00000440047,MROH7
ENST00000440051,TTC7A
ENST00000440066,DAZ4
ENST00000440082,GGCT
ENST00000440114,HSPD1
ENST00000440120,TMTC4
ENST00000440125,STRC
ENST00000440176,ACAA1
ENST00000440204,PLD1
ENST00000440217,MROH7
ENST00000440223,UBE2F
ENST00000440239,CHTF18
ENST00000440254,CAMK2B
ENST00000440311,CDK2
ENST00000440318,FAM3A
ENST00000440349,FOXP2
ENST00000440353,RMDN2
ENST00000440385,NFS1
ENST00000440394,ERC1
ENST00000440401,AWAT2
ENST00000440409,C7orf26
ENST00000440452,PCGF3
ENST00000440462,ELMOD3
ENST00000440472,SPIRE1
ENST00000440476,UTS2B
ENST00000440480,CDKN1C
ENST00000440481,FAM126A
ENST00000440502,IL17RC
ENST00000440541,KCTD10
ENST00000440576,LZTFL1
ENST00000440583,TDRKH
ENST00000440593,STX10
ENST00000440598,ZNF138
ENST00000440610,LMAN2L
ENST00000440612,CGREF1
ENST00000440623,SSFA2
ENST00000440628,GNAI2
ENST00000440632,TMEM120A
ENST00000440686,SLC26A10
ENST00000440697,CHD6
ENST00000440704,GATSL3
ENST00000440741,EFCAB5
ENST00000440755,ACHE
ENST00000440760,SNX17
ENST00000440761,TTLL1
ENST00000440764,TACC2
ENST00000440766,EIF6
ENST00000440779,SPAG16
ENST00000440787,ARPC4
ENST00000440792,SPATA3
ENST00000440812,SMG7
ENST00000440823,GALP
ENST00000440825,FAAP20
ENST00000440839,GATSL3
ENST00000440866,LDAH
ENST00000440899,UBE2D4
ENST00000440906,HELB
ENST00000440911,DNAJA4
ENST00000440919,SATB2
ENST00000440923,GRM7
ENST00000440925,PLOD3
ENST00000440928,RGS7
ENST00000440958,IL2RB
ENST00000440960,PRELID3A
ENST00000440964,SLC25A20
ENST00000441027,NBEAL2
ENST00000441034,CD36
ENST00000441049,MORN2
ENST00000441057,RBSN
ENST00000441061,ABI2
ENST00000441080,PFDN4
ENST00000441099,TRAPPC12
ENST00000441107,LATS1
ENST00000441114,SHH
ENST00000441122,MTHFD1L
ENST00000441123,BRPF3
ENST00000441128,TMEM50B
ENST00000441131,DHRSX
ENST00000441134,GARNL3
ENST00000441156,GNAI2
ENST00000441162,TBC1D22A
ENST00000441179,RPL37A
ENST00000441192,CAMK2G
ENST00000441194,MMS19
ENST00000441199,VMO1
ENST00000441219,GABRE
ENST00000441228,SACM1L
ENST00000441236,PRMT7
ENST00000441258,RASGRP2
ENST00000441260,SLC5A9
ENST00000441284,KIAA0226L
ENST00000441290,FOXP2
ENST00000441291,DNAJB6
ENST00000441315,ABCB5
ENST00000441330,CT47A3
ENST00000441369,BUB1B-PAK6
ENST00000441384,DHX30
ENST00000441390,GLT1D1
ENST00000441393,POMZP3
ENST00000441402,TMEM39B
ENST00000441439,LMO3
ENST00000441451,PREB
ENST00000441488,KMT5B
ENST00000441501,MED15
ENST00000441507,SHISA5
ENST00000441516,POGZ
ENST00000441517,SCAP
ENST00000441519,C1orf228
ENST00000441527,KLK13
ENST00000441556,CTTNBP2
ENST00000441563,RP1-309K20.6
ENST00000441599,SHBG
ENST00000441602,VPS50
ENST00000441621,CHRND
ENST00000441649,FAM78B
ENST00000441673,INO80B-WBP1
ENST00000441685,SVOPL
ENST00000441692,THOC2
ENST00000441696,ANLN
ENST00000441719,KDM3A
ENST00000441728,UBE2F
ENST00000441730,BRPF3
ENST00000441740,MEIS3
ENST00000441778,LDB2
ENST00000441786,POLE
ENST00000441787,PRDM15
ENST00000441796,CRAT
ENST00000441800,ANKAR
ENST00000441818,TRMU
ENST00000441822,WBSCR22
ENST00000441832,TYW5
ENST00000441840,DBNL
ENST00000441843,LACC1
ENST00000441881,TAC3
ENST00000441897,RGL4
ENST00000441902,PIP5K1A
ENST00000441904,DBNL
ENST00000441905,NDUFAF7
ENST00000441908,PQLC3
ENST00000441914,TTC7A
ENST00000441922,ORAOV1
ENST00000441936,TBC1D22A
ENST00000441941,AKT2
ENST00000441974,ACOXL
ENST00000441987,TANK
ENST00000441989,ARPC1A
ENST00000442009,POLR1E
ENST00000442011,TGFBI
ENST00000442018,BCOR
ENST00000442019,CAGE1
ENST00000442024,HUS1
ENST00000442058,ZNF707
ENST00000442060,HSD17B4
ENST00000442065,BCAP29
ENST00000442102,FDXR
ENST00000442110,OXA1L
ENST00000442111,GLT1D1
ENST00000442122,PECR
ENST00000442148,WAC
ENST00000442160,ZNF410
ENST00000442170,FBLN1
ENST00000442186,APEH
ENST00000442191,MBNL3
ENST00000442203,SLC51A
ENST00000442215,ELP6
ENST00000442216,CSNK1E
ENST00000442217,CCDC115
ENST00000442240,SUCLG1
ENST00000442241,NLE1
ENST00000442249,MLH1
ENST00000442255,OXNAD1
ENST00000442270,ARMCX4
ENST00000442272,KLHL18
ENST00000442278,C2
ENST00000442303,FIS1
ENST00000442309,GCFC2
ENST00000442310,ELN
ENST00000442313,POU2F1
ENST00000442361,RENBP
ENST00000442372,CFAP61
ENST00000442386,ACP1
ENST00000442394,GSTK1
ENST00000442397,LGALS8
ENST00000442398,C2CD3
ENST00000442406,EIF4G1
ENST00000442415,RAF1
ENST00000442441,TMEM50B
ENST00000442447,RBM39
ENST00000442452,ACHE
ENST00000442475,P2RX6
ENST00000442480,DPAGT1
ENST00000442489,CDKN1B
ENST00000442536,TNS3
ENST00000442555,THOC5
ENST00000442594,PLD5
ENST00000442616,POLR3H
ENST00000442625,MCF2L
ENST00000442631,MOBP
ENST00000442633,TM4SF19-TCTEX1D2
ENST00000442650,GSTM2
ENST00000442660,DONSON
ENST00000442701,LUC7L
ENST00000442710,DFNB59
ENST00000442722,LYPD6B
ENST00000442747,SHISA5
ENST00000442770,PON3
ENST00000442788,RP11-111K18.1
ENST00000442798,GORASP2
ENST00000442800,GS1-114I9.3
ENST00000442801,SULT1C2
ENST00000442819,HNRNPH1
ENST00000442842,TM9SF4
ENST00000442845,EFHD1
ENST00000442873,FAM185A
ENST00000442892,SLC48A1
ENST00000442897,MTO1
ENST00000442903,VWA9
ENST00000442912,ACTG2
ENST00000442921,PTPRO
ENST00000442934,MSI2
ENST00000442948,FOLR3
ENST00000442992,RAD51AP1
ENST00000442998,BAK1
ENST00000443002,POLR2F
ENST00000443029,METTL6
ENST00000443046,HMGN1
ENST00000443080,ZMYND10
ENST00000443081,RBM6
ENST00000443120,ANKRD39
ENST00000443137,ETV1
ENST00000443147,PIGQ
ENST00000443151,BBS5
ENST00000443197,CALD1
ENST00000443203,NELFA
ENST00000443204,RNF123
ENST00000443213,SRSF7
ENST00000443233,DUS4L
ENST00000443259,GRM7
ENST00000443265,LZTR1
ENST00000443276,GDPD5
ENST00000443296,DBNDD2
ENST00000443308,SHISA5
ENST00000443313,RP11-136C24.3
ENST00000443327,UCHL5
ENST00000443339,SETD5
ENST00000443372,ADHFE1
ENST00000443376,ABCC5
ENST00000443379,MAP7D2
ENST00000443409,DGCR6L
ENST00000443425,LRRC49
ENST00000443429,UQCC1
ENST00000443455,ANKRD36B
ENST00000443497,ABCC5
ENST00000443512,PLSCR5
ENST00000443527,CRY2
ENST00000443532,SCLY
ENST00000443560,NUCB1
ENST00000443567,CAPN7
ENST00000443583,CNTNAP3
ENST00000443585,C12orf75
ENST00000443586,ACOXL
ENST00000443597,LRRC23
ENST00000443607,NFKBIE
ENST00000443629,CERK
ENST00000443640,DMKN
ENST00000443644,CASD1
ENST00000443646,VIPR1
ENST00000443647,RNF181
ENST00000443656,FAAP100
ENST00000443668,GUCY1A3
ENST00000443669,YWHAH
ENST00000443687,TWIST1
ENST00000443702,RBM14
ENST00000443704,GMPPA
ENST00000443708,SELENBP1
ENST00000443722,PMPCB
ENST00000443727,LRCH3
ENST00000443780,UBE2D4
ENST00000443784,KIF9
ENST00000443785,PAXBP1
ENST00000443790,EDEM1
ENST00000443805,ABCB6
ENST00000443810,SLC25A17
ENST00000443813,CDK18
ENST00000443819,ZNF561
ENST00000443824,CTPS2
ENST00000443875,C1S
ENST00000443896,PIKFYVE
ENST00000443898,SIRT2
ENST00000443905,ZNF506
ENST00000443937,LASP1
ENST00000443942,EXOG
ENST00000443943,AP1S1
ENST00000443953,ATIC
ENST00000443963,EIF4A2
ENST00000443972,CFAP221
ENST00000443979,ST7
ENST00000443986,TEAD4
ENST00000443996,RGSL1
ENST00000444005,DNAJC10
ENST00000444016,PEAR1
ENST00000444035,PDE2A
ENST00000444040,SHQ1
ENST00000444047,TMEM237
ENST00000444056,TSPY10
ENST00000444074,SUGCT
ENST00000444078,GPR55
ENST00000444083,FAM180A
ENST00000444094,MED15
ENST00000444108,ELMOD3
ENST00000444115,SHISA5
ENST00000444118,LINC00521
ENST00000444124,DDC
ENST00000444166,COMMD1
ENST00000444172,CIRBP
ENST00000444249,ZNF101
ENST00000444257,PLB1
ENST00000444268,COL28A1
ENST00000444298,TRPM8
ENST00000444305,ATIC
ENST00000444315,TSPAN9
ENST00000444316,BANK1
ENST00000444337,F7
ENST00000444351,GALM
ENST00000444363,SLC25A40
ENST00000444377,BSDC1
ENST00000444380,TMEM150A
ENST00000444392,RFX5
ENST00000444421,SLC39A10
ENST00000444422,FES
ENST00000444427,IL17RE
ENST00000444452,PREB
ENST00000444453,PLCD4
ENST00000444457,PMPCB
ENST00000444458,CCDC88A
ENST00000444469,TMEM238
ENST00000444472,ANKS6
ENST00000444475,UBR3
ENST00000444498,NME4
ENST00000444502,TOP3B
ENST00000444517,DONSON
ENST00000444519,ZNF561
ENST00000444522,ZFAND2B
ENST00000444531,SLC26A6
ENST00000444545,NEMP2
ENST00000444547,SMG7
ENST00000444560,MAP4K2
ENST00000444572,DCDC1
ENST00000444584,ABI2
ENST00000444587,HBG2
ENST00000444595,CACNA2D4
ENST00000444615,DFNB59
ENST00000444643,DNAJB12
ENST00000444651,TANGO2
ENST00000444659,DTNA
ENST00000444666,GARS
ENST00000444677,GARNL3
ENST00000444689,RNF123
ENST00000444712,SNX13
ENST00000444717,RP4-614O4.11
ENST00000444719,LMBR1
ENST00000444723,C20orf173
ENST00000444733,DDC
ENST00000444739,CASP4
ENST00000444749,CASP5
ENST00000444751,C1orf228
ENST00000444759,KANSL3
ENST00000444782,RELL2
ENST00000444801,GORASP2
ENST00000444802,ZNF561
ENST00000444822,PCYT1A
ENST00000444832,E2F6
ENST00000444844,TRIM22
ENST00000444851,WDR60
ENST00000444878,RBM39
ENST00000444903,PTGDS
ENST00000444906,SLC4A3
ENST00000444932,STON1
ENST00000444971,CLEC2D
ENST00000444999,UPP1
ENST00000445008,ZBTB44
ENST00000445032,FKBP6
ENST00000445044,ELP6
ENST00000445049,PAXBP1
ENST00000445063,WDR35
ENST00000445067,CHI3L2
ENST00000445068,C16orf86
ENST00000445071,C1orf228
ENST00000445090,DIS3L2
ENST00000445110,FBLN1
ENST00000445177,SIK3
ENST00000445183,FAM73B
ENST00000445185,WBP2NL
ENST00000445186,GLI2
ENST00000445187,MTO1
ENST00000445196,KMT5C
ENST00000445208,AP4M1
ENST00000445215,POLDIP3
ENST00000445228,L3MBTL1
ENST00000445245,BRWD1
ENST00000445265,TCOF1
ENST00000445270,AADACL2
ENST00000445274,FNDC7
ENST00000445275,TOM1L1
ENST00000445291,DECR2
ENST00000445352,KLC1
ENST00000445356,BPIFB4
ENST00000445366,CTTNBP2
ENST00000445378,DYNC1I2
ENST00000445387,SETD2
ENST00000445388,SEC22C
ENST00000445392,RADIL
ENST00000445399,TGFA
ENST00000445413,ZGRF1
ENST00000445416,ARMCX4
ENST00000445424,EIF4ENIF1
ENST00000445426,MAP6D1
ENST00000445445,RASGRP2
ENST00000445503,MSH6
ENST00000445552,ARL17A
ENST00000445558,PSMD2
ENST00000445561,TRO
ENST00000445564,GDI1
ENST00000445570,REPS1
ENST00000445616,POLM
ENST00000445620,ING5
ENST00000445633,PFKFB4
ENST00000445644,COMMD1
ENST00000445655,NT5C3B
ENST00000445668,BRWD1
ENST00000445676,UBE2F
ENST00000445690,KIFC3
ENST00000445692,APLF
ENST00000445693,LMNTD1
ENST00000445741,SAMD12
ENST00000445774,INPP5K
ENST00000445802,SLC5A6
ENST00000445809,SLC26A5
ENST00000445816,SERF2
ENST00000445828,ANKRD26
ENST00000445843,OSCP1
ENST00000445846,STAM
ENST00000445889,ERCC3
ENST00000445890,EPB41L2
ENST00000445902,VPS52
ENST00000445906,KIF7
ENST00000445912,ELN
ENST00000445919,NOL8
ENST00000445921,PQLC3
ENST00000445924,ARPC1B
ENST00000445930,PSMC6
ENST00000445933,EIF2B4
ENST00000445960,KIAA0922
ENST00000445961,RPS9
ENST00000445971,CYP27A1
ENST00000446007,AP4M1
ENST00000446014,ANKS3
ENST00000446063,TSPAN32
ENST00000446066,SETD3
ENST00000446068,ARPP21
ENST00000446079,GNAI2
ENST00000446089,APEH
ENST00000446111,GUSB
ENST00000446142,PON2
ENST00000446190,EP400NL
ENST00000446198,PODXL
ENST00000446202,SCLY
ENST00000446221,GTF2H2C
ENST00000446228,SLC4A10
ENST00000446230,PIWIL4
ENST00000446234,FAM221A
ENST00000446236,SLC25A40
ENST00000446327,SRSF7
ENST00000446330,COA1
ENST00000446369,CASP1
ENST00000446386,MPZL3
ENST00000446457,CLEC4E
ENST00000446464,ELMOD3
ENST00000446481,UGT1A6
ENST00000446488,NFRKB
ENST00000446494,TCTEX1D2
ENST00000446496,SEC63
ENST00000446503,PLCD4
ENST00000446523,PDIA3
ENST00000446547,RAB5A
ENST00000446552,ATP6AP1
ENST00000446564,COA1
ENST00000446583,ADGRD1
ENST00000446586,KIR3DX1
ENST00000446609,PLEKHM1
ENST00000446616,CHRND
ENST00000446646,HDAC9
ENST00000446668,MANF
ENST00000446673,VIPR1
ENST00000446677,PTGDS
ENST00000446702,CNTN6
ENST00000446716,ATG9A
ENST00000446723,DAZ3
ENST00000446732,GLB1
ENST00000446745,LTB
ENST00000446749,ZNF385D
ENST00000446758,SESTD1
ENST00000446764,GARNL3
ENST00000446767,UNG
ENST00000446780,LMAN2L
ENST00000446782,TBCCD1
ENST00000446788,UTS2B
ENST00000446801,ZWILCH
ENST00000446821,ACTR3
ENST00000446837,DNAI2
ENST00000446856,ADD1
ENST00000446896,ARL5A
ENST00000446921,SIK3
ENST00000446924,BRWD1
ENST00000446927,SEMA4F
ENST00000446928,CAND2
ENST00000446940,PUM2
ENST00000446942,LRRC75B
ENST00000446957,N4BP2L2
ENST00000446987,DDX56
ENST00000446997,SLC4A10
ENST00000447001,STRADA
ENST00000447002,GLB1L
ENST00000447012,NAIP
ENST00000447016,PRDM15
ENST00000447047,ZNF789
ENST00000447060,TNK2
ENST00000447062,WDTC1
ENST00000447096,DNAJC25
ENST00000447118,WFDC2
ENST00000447124,SDC1
ENST00000447130,DLEC1
ENST00000447133,PARP11
ENST00000447144,MTMR14
ENST00000447145,KIR3DX1
ENST00000447207,PRDM15
ENST00000447223,ACAA1
ENST00000447251,PPP2R3A
ENST00000447299,MRPS25
ENST00000447333,ARHGAP8
ENST00000447376,SF3A1
ENST00000447421,CHEK2
ENST00000447436,APEH
ENST00000447444,ADGRF3
ENST00000447464,COPS8
ENST00000447468,PPIL6
ENST00000447485,ATP6AP2
ENST00000447486,METTL8
ENST00000447489,ANXA11
ENST00000447496,PLCH1
ENST00000447501,SUMF2
ENST00000447510,PROM1
ENST00000447513,PEX10
ENST00000447541,APEH
ENST00000447544,CD36
ENST00000447555,PIP5K1A
ENST00000447558,GCC2
ENST00000447566,SLC25A17
ENST00000447573,EXOG
ENST00000447574,HSPB1
ENST00000447598,PLA2G6
ENST00000447609,LMO3
ENST00000447611,FANCI
ENST00000447619,OST4
ENST00000447645,PLEKHM3
ENST00000447662,ACAP2
ENST00000447676,PNCK
ENST00000447684,CNOT3
ENST00000447695,TOX4
ENST00000447698,STRADB
ENST00000447701,CAMSAP2
ENST00000447713,ANKRD44
ENST00000447734,PMS1
ENST00000447738,MAST4
ENST00000447759,KANSL3
ENST00000447762,ABI2
ENST00000447768,HAX1
ENST00000447778,GALNT11
ENST00000447782,CCDC138
ENST00000447799,NT5DC3
ENST00000447802,ANKMY2
ENST00000447829,MLH1
ENST00000447837,FAM166B
ENST00000447841,SLC22A5
ENST00000447863,DMTF1
ENST00000447872,VSTM1
ENST00000447878,MVK
ENST00000447887,OSBPL9
ENST00000447901,GGCT
ENST00000447913,CASP12
ENST00000447926,PYCRL
ENST00000447927,EIF6
ENST00000447929,GUSB
ENST00000447932,SLC37A3
ENST00000447944,PNPT1
ENST00000447976,RP1-130H16.18
ENST00000447990,SPAG16
ENST00000447995,PTPN12
ENST00000448002,FBXL13
ENST00000448076,WT1
ENST00000448078,USP49
ENST00000448094,PLA2G6
ENST00000448103,CASP12
ENST00000448111,LZTFL1
ENST00000448128,THOC2
ENST00000448156,OSBPL2
ENST00000448175,BCL7B
ENST00000448177,OXSM
ENST00000448183,NEDD9
ENST00000448244,MRPL43
ENST00000448246,SP4
ENST00000448279,PRKRA
ENST00000448281,TATDN2
ENST00000448282,SMIM8
ENST00000448302,NPRL2
ENST00000448310,CBX4
ENST00000448331,RP11-219A15.1
ENST00000448342,SLC12A9
ENST00000448366,GALNTL5
ENST00000448392,TMEM87A
ENST00000448395,KNSTRN
ENST00000448398,ABCB6
ENST00000448404,SF1
ENST00000448405,MPZL1
ENST00000448409,CCDC150
ENST00000448410,POR
ENST00000448413,SUMF1
ENST00000448414,BNIP2
ENST00000448427,MRPL33
ENST00000448449,ST6GAL1
ENST00000448461,ZNF589
ENST00000448464,TP53INP1
ENST00000448472,CHRD
ENST00000448492,CCDC117
ENST00000448496,ZFAND2B
ENST00000448511,CHEK2
ENST00000448519,MEAF6
ENST00000448520,PDLIM2
ENST00000448539,GTF3C3
ENST00000448549,TRA2A
ENST00000448553,SERINC4
ENST00000448563,ORC5
ENST00000448587,TINCR
ENST00000448638,VWA3B
ENST00000448656,CCDC148
ENST00000448660,MMS19
ENST00000448667,ZNF789
ENST00000448688,RXFP1
ENST00000448720,C7orf43
ENST00000448745,CPSF7
ENST00000448753,DEPDC5
ENST00000448770,POLR1B
ENST00000448787,PLSCR1
ENST00000448810,SLC22A5
ENST00000448821,NPR2
ENST00000448827,TREML4
ENST00000448828,NME4
ENST00000448829,DHTKD1
ENST00000448830,SERF2
ENST00000448833,VPS41
ENST00000448861,MUC4
ENST00000448866,TBXAS1
ENST00000448874,PTMA
ENST00000448885,PCDH15
ENST00000448923,RP11-96L14.7
ENST00000448926,LMBR1
ENST00000448930,AURKC
ENST00000448943,TWIST2
ENST00000448950,ABHD1
ENST00000448954,ZNF528
ENST00000448962,RPS9
ENST00000448997,HEMK1
ENST00000449047,MAPK10
ENST00000449056,MPHOSPH8
ENST00000449076,TESPA1
ENST00000449079,EBF4
ENST00000449080,CAPZA2
ENST00000449094,PLXNB1
ENST00000449133,MTERF4
ENST00000449141,DSTN
ENST00000449191,UBE2F-SCLY
ENST00000449209,LYPD1
ENST00000449221,LMAN2L
ENST00000449261,BRPF3
ENST00000449265,ADAMTS18
ENST00000449279,SHFM1
ENST00000449285,ZNF185
ENST00000449291,NAPRT
ENST00000449299,BTBD3
ENST00000449301,CYP20A1
ENST00000449302,C17orf105
ENST00000449313,ZNF687
ENST00000449356,SLC17A3
ENST00000449367,FIS1
ENST00000449371,GRM5
ENST00000449378,RBKS
ENST00000449389,SRRT
ENST00000449392,ITSN2
ENST00000449395,PRDM15
ENST00000449430,ZPR1
ENST00000449446,WNT2
ENST00000449459,TTC31
ENST00000449470,RPL9
ENST00000449476,CTC1
ENST00000449479,INPP5K
ENST00000449480,UCHL5
ENST00000449489,RBM39
ENST00000449502,RFC4
ENST00000449508,TOM1
ENST00000449510,UBE3B
ENST00000449512,ADHFE1
ENST00000449538,HIST1H2BN
ENST00000449543,MTMR14
ENST00000449547,AUTS2
ENST00000449556,ATP6AP1
ENST00000449565,EAF1
ENST00000449570,OGG1
ENST00000449575,CCDC171
ENST00000449600,NPHP1
ENST00000449617,SEC22C
ENST00000449651,ANTXR2
ENST00000449676,SLC25A17
ENST00000449699,NDUFS1
ENST00000449739,COX18
ENST00000449750,DAZ4
ENST00000449777,SLC30A6
ENST00000449784,COPS7B
ENST00000449891,UBE2F-SCLY
ENST00000449896,SUN3
ENST00000449900,ASCC2
ENST00000449901,PKM
ENST00000449934,MICA
ENST00000449947,DAZ2
ENST00000449966,APEH
ENST00000449971,FAM3A
ENST00000450006,FAM160B2
ENST00000450019,TANGO2
ENST00000450020,PRSS21
ENST00000450031,FAP
ENST00000450035,AC114783.1
ENST00000450038,DLD
ENST00000450067,ANKS3
ENST00000450095,GALT
ENST00000450116,RPS21
ENST00000450124,AMPH
ENST00000450149,AP1G1
ENST00000450162,SNRNP27
ENST00000450168,LDHD
ENST00000450169,LSM5
ENST00000450178,HSCB
ENST00000450185,SFXN5
ENST00000450214,RAP1B
ENST00000450233,UGT1A4
ENST00000450256,FAM136A
ENST00000450272,NAGK
ENST00000450285,TBL2
ENST00000450299,LINC00238
ENST00000450307,C8orf46
ENST00000450385,SGCE
ENST00000450390,UBE2J2
ENST00000450414,TSPAN12
ENST00000450446,FAM168A
ENST00000450447,NHEJ1
ENST00000450457,ARL13A
ENST00000450460,PDS5B
ENST00000450471,CDK15
ENST00000450475,AARSD1
ENST00000450501,COPS7B
ENST00000450529,RAB34
ENST00000450534,RP11-438J1.1
ENST00000450542,SYNPR
ENST00000450564,IFT172
ENST00000450612,HORMAD2
ENST00000450625,SH3BP5
ENST00000450650,CAPN13
ENST00000450684,AEBP1
ENST00000450711,ARV1
ENST00000450712,ZNF772
ENST00000450714,ASZ1
ENST00000450725,CLEC4E
ENST00000450732,EXOG
ENST00000450733,PLEKHG4
ENST00000450743,UBE2D4
ENST00000450756,BRD8
ENST00000450764,TNPO2
ENST00000450765,ZNF142
ENST00000450796,NFU1
ENST00000450801,ATP11C
ENST00000450810,CATSPER2
ENST00000450814,TKT
ENST00000450827,MAST4
ENST00000450829,TM9SF4
ENST00000450852,MOCS2
ENST00000450931,PMS1
ENST00000450939,L3MBTL2
ENST00000450940,USP40
ENST00000450950,ATP13A4
ENST00000450954,RABL2A
ENST00000450962,SNTG2
ENST00000450991,NECAP1
ENST00000451000,PHYHD1
ENST00000451002,INMT-FAM188B
ENST00000451029,CFAP69
ENST00000451065,IL10RB
ENST00000451078,ELMSAN1
ENST00000451080,CDK15
ENST00000451081,DLD
ENST00000451088,GTF3C3
ENST00000451097,MARVELD1
ENST00000451107,FGD6
ENST00000451122,CAV1
ENST00000451138,ATP5J2-PTCD1
ENST00000451147,TMEM150A
ENST00000451154,USP42
ENST00000451165,IL17RC
ENST00000451193,SIRT2
ENST00000451194,NPRL2
ENST00000451231,IL17RC
ENST00000451244,KLF7
ENST00000451246,PSMG4
ENST00000451271,IL17RC
ENST00000451275,ZNF154
ENST00000451277,FRMD5
ENST00000451287,PPM1N
ENST00000451310,SEPT2
ENST00000451312,NUCB1
ENST00000451324,KCNT2
ENST00000451351,MCM5
ENST00000451367,ANAPC1
ENST00000451384,LINC01125
ENST00000451385,METTL15
ENST00000451389,TMEM138
ENST00000451405,RPUSD3
ENST00000451406,SLC38A6
ENST00000451422,ANKRD28
ENST00000451436,EDA2R
ENST00000451479,SLC35E4
ENST00000451500,NABP1
ENST00000451517,NDUFA3
ENST00000451554,CCDC148
ENST00000451559,RAPGEF5
ENST00000451583,LINC01420
ENST00000451599,ITPR2
ENST00000451608,RP11-287D1.3
ENST00000451623,FEZ2
ENST00000451636,FBXL2
ENST00000451637,MIER3
ENST00000451679,C6orf201
ENST00000451681,LRRC23
ENST00000451695,XRCC5
ENST00000451765,XPO1
ENST00000451799,CHN1
ENST00000451819,KANSL3
ENST00000451850,AMD1
ENST00000451864,RHBG
ENST00000451882,HSBP1L1
ENST00000451904,PON3
ENST00000451956,GNAI2
ENST00000451963,STAG3
ENST00000451973,CTC-326K19.6
ENST00000451997,SH3BP1
ENST00000451998,TTC38
ENST00000452015,PPP1R3E
ENST00000452029,TMEM87B
ENST00000452032,CTD-2369P2.10
ENST00000452087,NUCB1
ENST00000452101,SPEG
ENST00000452106,L3MBTL2
ENST00000452107,LANCL2
ENST00000452125,TBL2
ENST00000452133,SYS1-DBNDD2
ENST00000452137,NUP35
ENST00000452140,VPS8
ENST00000452157,MIER3
ENST00000452162,PKP4
ENST00000452174,CERKL
ENST00000452177,SNTG2
ENST00000452188,ARMCX4
ENST00000452216,SUMF2
ENST00000452228,P2RX6
ENST00000452231,BCL2L11
ENST00000452243,FES
ENST00000452250,SFI1
ENST00000452268,KANSL3
ENST00000452270,PHF20
ENST00000452278,CRHR2
ENST00000452281,STAT1
ENST00000452293,FAM134A
ENST00000452312,CCNYL1
ENST00000452324,MAP7D2
ENST00000452355,SRSF2
ENST00000452361,INO80B-WBP1
ENST00000452376,AP1S2
ENST00000452385,ARIH2
ENST00000452389,GORASP1
ENST00000452398,KCNH8
ENST00000452413,KCTD3
ENST00000452420,CRYZL1
ENST00000452449,UHRF1BP1
ENST00000452456,RFX5
ENST00000452492,TBC1D5
ENST00000452499,KRTCAP3
ENST00000452545,ABCB6
ENST00000452550,SH3BGR
ENST00000452556,SPAG16
ENST00000452576,VWDE
ENST00000452581,OXNAD1
ENST00000452625,MYH11
ENST00000452649,SEC14L2
ENST00000452692,GLI2
ENST00000452732,FHL2
ENST00000452758,PRSS37
ENST00000452771,DKC1
ENST00000452776,SMCO1
ENST00000452800,POTEH
ENST00000452818,HIRA
ENST00000452831,RABL2A
ENST00000452839,CCNT2
ENST00000452863,WT1
ENST00000452865,MTX2
ENST00000452875,WDR6
ENST00000452877,ANLN
ENST00000452881,SPATA3
ENST00000452886,AQP12B
ENST00000452913,FAM92A1
ENST00000452918,SUGP2
ENST00000452938,CRLS1
ENST00000452950,CSTF1
ENST00000452959,MOBP
ENST00000452974,LCT
ENST00000452975,BZW2
ENST00000452988,LZTR1
ENST00000452993,JAZF1
ENST00000453001,PPP2R2B
ENST00000453024,CTNNB1
ENST00000453030,GARNL3
ENST00000453037,C12orf29
ENST00000453040,CHL1
ENST00000453046,SQSTM1
ENST00000453052,AEBP1
ENST00000453122,HJURP
ENST00000453130,AC007040.11
ENST00000453133,USP34
ENST00000453142,MIS18BP1
ENST00000453143,SAG
ENST00000453160,ASCC2
ENST00000453171,KRTCAP3
ENST00000453186,KIAA1841
ENST00000453211,FBXO22
ENST00000453218,PIGX
ENST00000453224,ULK4
ENST00000453233,MRPL19
ENST00000453246,ABCA13
ENST00000453259,LYSMD3
ENST00000453292,GNAS
ENST00000453308,PXDN
ENST00000453310,RBM39
ENST00000453333,SEMA3E
ENST00000453384,RAB34
ENST00000453390,ACP1
ENST00000453397,TMEM191C
ENST00000453412,RBKS
ENST00000453413,KCNK17
ENST00000453441,COL28A1
ENST00000453452,HEBP2
